,respid,sample,comp,int_date,lang,cregion,state,density,sfips,usr,qs1,sex,eminuse,intmob,intfreq,snsint2,home4nw,bbhome1,bbhome2,device1a,smart2,q20,bbsmart1,bbsmart2,bbsmart3a,bbsmart3b,bbsmart3c,bbsmart3d,bbsmart3e,bbsmart3f,bbsmart3foe@,bbsmart4,twitter_users,insta_users,facebook_users,snap_users,youtube_users,web1f,web1g,web1h,web1i,twitter_time,insta_time,facebok_time,snap_time,youtube_time,device1b,device1c,device1d,books1,books2a,books2b,books2c,age,marital,educ2,emplnw,hisp,racem1,racem2,racem3,racem4,racecmb,birth_hisp,inc,party,partyln,hh1,hh3,ql1,ql1a,qc1,weight,cellweight
882,100950,2,1,190115,1,3,12,4,12097,S,2,1,1,1,1,1,1,2,,,1,1,,,,,,,,,,,2,2,1,2,1,2,2,1,2,,,1,,1,2,1,1,1,1,2,2,50,1,3,5,1,2,,,,2,2,6,4,8,5,2,,,2,1.3578824,1.1882002
883,100951,2,1,190115,1,2,39,5,39085,S,2,2,1,1,2,1,1,2,,,1,1,,,,,,,,,,,1,1,1,1,1,1,1,1,2,2,3,1,5,1,1,1,2,15,1,2,2,53,6,6,1,2,1,,,,1,,7,1,,4,1,,,2,1.1213513,0.9703455
884,100952,2,1,190116,1,3,51,5,51770,U,2,2,2,1,5,2,2,,,,2,,1,2,2,1,,2,2,1,Just not interested in it.,6,2,2,2,1,2,2,2,2,2,,,,5,,2,2,2,0,,,,72,5,3,3,2,1,,,,1,,3,3,2,1,,,,2,1.5734243,2.0699671
885,100953,2,1,190115,1,3,47,3,47093,S,2,2,1,1,3,2,1,2,,,1,2,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,1,1,2,12,1,2,1,75,5,5,3,2,1,,,,1,,6,3,8,3,3,,,2,0.8801963,1.2356575
886,100954,2,1,190115,2,1,36,5,36061,U,2,1,1,1,2,1,2,,,,1,1,8,1,1,1,1,2,2,2,,8,2,1,2,2,8,2,2,2,2,,1,,,,2,2,2,0,,,,52,3,4,6,1,7,,,,5,3,4,3,2,2,2,,,2,0.9419393,0.9279105
887,100955,2,1,190115,1,2,17,2,25021,S,2,2,1,1,1,1,1,2,,,1,2,,,,,,,,,,,1,1,1,1,1,2,1,2,2,4,3,1,5,3,1,1,2,30,1,2,1,66,1,7,2,2,1,,,,1,,8,2,,2,2,,,2,0.5469718,0.6531048
888,100956,2,1,190115,1,1,34,5,34017,S,2,1,1,1,2,1,1,8,,,1,1,1,2,9,9,1,9,9,2,,,2,2,1,2,1,2,8,2,2,,,1,,1,2,1,2,3,1,2,2,46,3,3,1,2,1,,,,1,,5,3,8,2,1,,,2,1.8757603,1.549296
889,100957,2,1,190115,1,3,45,3,45083,S,2,2,1,1,2,1,2,,,,1,1,2,1,2,2,1,1,1,2,,5,2,1,1,2,1,2,1,2,8,,5,3,,5,1,1,2,0,,,,58,1,4,1,2,1,,,,1,,99,1,,2,2,,,1,0.9412782,1.252816
890,100958,2,1,190115,1,3,13,4,13121,S,2,1,1,1,2,2,1,2,,,1,3,,,,,,,,,,,2,2,2,2,2,1,2,2,2,,,,,,2,1,2,1,1,2,2,60,1,7,1,2,1,,,,1,,8,3,8,2,2,,,2,0.3978784,0.3621883
891,100963,2,1,190115,1,3,24,4,24510,S,2,2,1,1,1,2,2,,,,1,2,1,2,1,1,2,2,2,2,,1,2,2,2,2,1,2,2,2,2,,,,,1,1,2,2,0,,,,73,3,4,3,2,2,,,,2,,2,2,,5,4,,,1,0.8792819,1.4111983
