title,year_release,subject,type_of_subject,subject_race,person_of_color,subject_sex
Rosewater,2014,Maziar Bahari,Media,Middle Eastern,Yes,Male
Rush,2013,James Hunt,Athlete,White,No,Male
Rush,2013,Niki Lauda,Athlete,White,No,Male
Saint Joan,1957,Joan of Arc,Historical,White,No,Female
Salomes Last Dance,1988,Oscar Wilde,Author,White,No,Male
Santa Fe Trail,1940,John Brown ,Other,White,No,Male
Saving Mr Banks,2013,PL Travers,Author,White,No,Female
Saving Mr Banks,2013,Walt Disney,Other,White,No,Male
Schindlers List,1993,Oskar Schindler,Other,White,No,Male
Scott of the Antarctic,1948,Robert Falcon Scott,Other,White,No,Male
Selena,1997,Selena Quintanilla Perez,Singer,Hispanic,Yes,Female
Selma,2014,Martin Luther King Jr,Activist,Black,Yes,Male
Sergeant York,1941,Alvin C York,Military,White,No,Male
Serpico,1973,Frank Serpico,Other,White,No,Male
Set Fire to the Stars,2014,Dylan Thomas,Author,White,No,Male
Seven Years in Tibet,1997,Heinrich Harrer,Other,White,No,Male
Shadowlands,1993,CS Lewis,Author,White,No,Male
Shadowlands,1993,Joy Gresham,Author,White,No,Female
Sister Kenny,1946,Elizabeth Kenny,Medicine,White,No,Female
Skin,2008,Sandra Laing,Other,Black,Yes,Female
Somebody Up There Likes Me,1956,Rocky Graziano,Athlete,White,No,Male
Son of God,2014,Jesus,Historical,Middle Eastern,No,Male
Spitfire,1942,R J Mitchell,Military,White,No,Male
Squanto  A Warriors Tale,1994,Squanto,Historical,Native American,Yes,Male
Stander,2003,Andre Stander,Other,White,No,Male
Star 80,1983,Dorothy Stratten,Actress,White,No,Female
Star!,1968,Gertrude Lawrence,Actress,White,No,Female
Stars and Stripes Forever,1952,John Philip Sousa,Musician,White,No,Male
Steal This Movie,2000,Abbie Hoffman,Activist,White,No,Male
Stealing Sinatra,2003,Frank Sinatra Jr,Other,White,No,Male
Stoned,2005,Brian Jones,Musician,White,No,Male
Strauss Great Waltz,1934,Johann Strauss I,Musician,White,No,Male
Strauss Great Waltz,1934,Johann Strauss II,Musician,White,No,Male
Sunrise at Campobello,1960,Franklin Roosevelt,Government,White,No,Male
Surviving Picasso,1996,Francoise Gilot,Artist,White,No,Female
Sweet Dreams,1985,Patsy Cline,Singer,White,No,Female
Swoon,1992,Nathan Leopold Jr,Criminal,White,No,Male
Swoon,1992,Richard Loeb,Criminal,White,No,Male
Sylvia,2003,Sylvia Plath,Author,White,No,Female
Sylvia,2003,Ted Hughes,Author,White,No,Male
Talk to Me,2007,Ralph Greene,Activist,Black,Yes,Male
Ted Bundy,2002,Ted Bundy,Criminal,White,No,Male
Telstar  The Joe Meek Story,2008,Joe Meek,Musician,White,No,Male
